week,gameId,playId,offenseTeam,defenseTeam,line_set_frame,motion_start_frame,ball_snap_frame,motion_player_nflId,motion_duration_frames,motion_distance,num_defenders_moved_gt
1,2022090800,80,BUF,LA,23,61,88,47857,27,10.168582365531721,3
1,2022090800,101,BUF,LA,46,97,106,53079,9,1.9755301375192018,0
1,2022090800,212,BUF,LA,79,95,104,47879,9,5.802070777696748,1
1,2022090800,236,BUF,LA,51,84,93,52536,9,3.13491816609537,2
1,2022090800,299,LA,BUF,61,146,153,44881,7,4.127171867814205,3
1,2022090800,364,LA,BUF,47,85,159,44881,74,10.78905851777759,3
1,2022090800,438,LA,BUF,22,58,65,53678,7,3.934365703197641,0
1,2022090800,529,BUF,LA,20,70,75,47879,5,0.4408276253029819,0
1,2022090800,550,BUF,LA,80,109,118,42489,9,1.3542831394582187,0
1,2022090800,569,BUF,LA,62,102,127,42489,25,10.461584586400765,5
1,2022090800,617,BUF,LA,57,121,130,44985,9,5.413399885508058,0
1,2022090800,692,BUF,LA,77,96,115,42489,19,11.03502315218217,2
1,2022090800,721,BUF,LA,57,123,175,44985,52,12.005778091894271,3
1,2022090800,818,LA,BUF,71,130,146,47853,16,10.20352697608812,2
1,2022090800,933,LA,BUF,71,122,129,44881,7,4.784130029764811,2
1,2022090800,1030,BUF,LA,87,159,186,44985,27,10.18489376348323,0
1,2022090800,1230,LA,BUF,66,68,132,44881,64,12.300550219177412,4
1,2022090800,1254,LA,BUF,87,112,122,47853,10,2.0981540343371763,0
1,2022090800,1286,LA,BUF,45,71,83,53486,12,2.8053808476376636,0
1,2022090800,1504,BUF,LA,59,114,141,47857,27,2.0129308835331816,1
1,2022090800,1757,LA,BUF,43,107,112,53678,5,2.8040539718832793,1
1,2022090800,1991,LA,BUF,69,89,170,47853,81,13.607458884989715,3
1,2022090800,2163,BUF,LA,46,108,111,53079,3,1.5702874537491658,0
1,2022090800,2184,BUF,LA,65,82,141,42489,59,14.23391953186292,4
1,2022090800,2208,BUF,LA,89,126,128,47857,2,0.9402131275907875,0
1,2022090800,2288,LA,BUF,45,127,129,53678,2,1.2145925858867845,0
1,2022090800,2336,LA,BUF,6,35,38,44881,3,1.8133598550840122,0
